CPU_Cycles,Execution_Time(ns),Time_clock(ms),avg_cpu_cycles,Std_Dev_CPU_Cycles
3522759585,948826716,1469.39,3522759585.0,0.0
3561836383,949199519,1526.61,3542297984.0,19538399.0
3758217450,1045934213,1599.94,3614271139.3333335,103028003.64105411
3519346421,960635988,1499.85,3590539959.75,98237384.96084392
3569671746,990680528,1532.29,3586366317.0,88261793.65033631
3803670069,1061138000,1621.49,3622583609.0,114237682.25814009
3516027967,959125385,1486.11,3607361374.428571,112143771.33895683
3524940711,972695124,1502.85,3597058791.5,108384499.69372626
3515599744,964539456,1506.21,3588007786.2222223,105343822.44274473
3807999821,1058424410,1608.65,3610006989.7,119763406.0014732
3533043131,937629426,1473.64,3603010275.2727275,116313711.99405111
3520383324,954173127,1493.88,3596124696.0,113679356.90270802
3468534607,985614299,1489.14,3586310073.769231,114388991.03728402
3827606075,1081792046,1628.78,3603545502.428571,126538491.23934704
3510999058,970862688,1504.6,3597375739.4666667,124408389.71256548
3513198888,964800539,1505.58,3592114686.25,122169092.57530299
3953029576,1092038057,1667.68,3613344973.882353,145804426.95083237
3550653645,961991644,1509.21,3609862122.2777777,142422236.82016695
3518449621,983842286,1516.45,3605050938.0,140118394.81336275
3509043351,956666195,1487.88,3600250558.65,138164161.53617388
4102272259,1109943873,1732.89,3624156353.904762,172075740.56352124
3562077165,957046705,1503.58,3621334572.590909,168616013.75745752
3530929206,976517111,1511.36,3617403904.478261,165937088.51311007
4059827719,1154535840,1710.24,3635838230.0833335,184942642.6760934
3503198637,977276937,1523.12,3630532646.36,183060675.96374616
3631777428,938648431,1540.06,3630580522.576923,179505920.94300306
3501237341,936203505,1460.34,3625790034.3703704,177835942.77248135
4310711382,1211173739,1823.01,3650251511.071429,215990647.4066209
3648842781,928646229,1521.84,3650202934.172414,212234157.4095047
3543451442,941359030,1477.99,3646644551.1,209544967.962065
3506600396,940722824,1462.42,3642126997.709677,207617243.70369405
4812603207,1433126992,2010.59,3678704379.25,288501197.8961402
3840054609,1057840086,1601.66,3683593780.151515,285439539.24800974
4716595175,1487153363,1970.33,3713976174.117647,330970317.44886553
5471207722,1847763498,2287.17,3764182789.7714286,438309870.7870845
3638490319,1000971186,1546.06,3760691332.25,432672693.40675604
3517165539,971687563,1503.02,3754109554.0540543,428608866.1584605
3500414624,961924386,1499.87,3747433371.6842103,424876859.23324656
6723788663,2482204021,3018.97,3823750174.025641,630248588.1376548
3594796100,976153333,1542.79,3818026322.175,623346362.3849785
3591605261,975787814,1532.41,3812503857.268293,616687524.0390612
3853962911,1048012654,1622.31,3813490977.595238,609334561.370497
3585726568,969091262,1520.49,3808194130.860465,603185183.4065862
3513079183,959374308,1492.92,3801486972.9545455,597911234.7769179
3507450697,963404117,1500.88,3794952833.4888887,592817026.7297275
3737961203,1058983127,1592.02,3793713885.0,586396858.1122763
3514086291,955754257,1486.53,3787764361.7234044,581526725.018934
3508837383,967076642,1505.78,3781953383.0,576814636.9745806
3519567895,966470106,1502.19,3776598577.122449,572102587.1597538
3740379526,1038477253,1560.98,3775874196.1,566375365.3678844
3518028818,968740312,1506.77,3770818404.372549,561933520.442783
3490506365,959928819,1491.68,3765427788.230769,557834017.4982991
3820383850,1077742520,1628.72,3766464695.056604,552596961.8747675
3522982004,970733521,1506.52,3761955756.3333335,548439643.4058079
3533720849,966051656,1493.94,3757806030.7454543,544285859.944959
3596507730,976695963,1541.88,3754925703.946429,539827070.582502
3849451765,1080671831,1625.66,3756584055.894737,535214685.9336666
3530343622,965750054,1506.87,3752683358.7586207,531397369.9976366
3495406206,992220826,1539.35,3748322729.0508475,527920339.45296067
3923436198,1110793767,1654.94,3751241286.866667,523982296.9640542
3902822569,1079930474,1658.04,3753726225.9180326,520025961.9425277
3544121420,964517928,1502.57,3750345503.2419353,516490524.31261885
3503563090,965411810,1503.0,3746428322.0793653,513302526.8084159
4058448015,1134952269,1724.28,3751303629.78125,510744594.1728764
3530634295,988989313,1530.2,3747908716.9384613,507527769.4967178
3536334998,971809737,1503.06,3744703054.530303,504330843.7514682
3509368354,970173857,1502.73,3741190596.3134327,501365737.97276837
4277917549,1208699835,1786.78,3749083639.7352943,501841737.82335675
3517050427,970551625,1507.3,3745720839.5507245,498963098.14393497
3591896553,954169818,1533.45,3743523349.742857,495722443.10960853
4508887679,1295744120,1899.67,3754303129.028169,500413687.17469794
3509137596,947728366,1484.18,3750898052.1805553,497754056.72827524
3497838036,970649961,1502.65,3747431476.6164384,495207406.26946723
3519216308,965340559,1504.18,3744347487.8513513,492555330.15484685
5368559850,1623549814,2244.09,3766003652.68,523527615.6773062
3590061778,977888646,1527.32,3763688628.013158,520458243.96117616
3582650757,982020247,1534.96,3761337486.8311687,517473691.2427984
3933035225,1135279592,1681.66,3763538739.8846154,514508563.00980467
5628241505,2208612333,2871.05,3787142572.35443,552109751.754003
3587456935,982963487,1537.87,3784646501.8875,549096587.4155368
3613061199,983986922,1541.56,3782528164.814815,546025403.3068585
3946750785,1041277988,1681.65,3784530879.695122,542985010.8368349
3587354104,989959583,1538.08,3782155255.8915663,540132664.0530736
3591077441,961862813,1517.95,3779880520.0,537307767.9093038
3514652268,967992684,1505.88,3776760187.6235294,534902827.5868439
3909229675,1100962951,1668.4,3778300530.5,531973422.22788215
3504029660,962307706,1497.81,3775147991.7586207,529714648.28802234
3506619827,953234892,1482.64,3772096535.340909,527464776.10126984
3782467395,1073966915,1609.09,3772213061.8539324,524494259.01331526
3524447685,958954508,1496.49,3769460113.2222223,522218471.36666054
3510201229,958881032,1504.4,3766611114.4945054,520044043.0006782
3521910038,974621648,1502.6,3763951320.1847825,517831978.881469
3901524045,1063940971,1649.78,3765430596.795699,515235815.2551287
3523423330,941129347,1469.65,3762856051.4042554,513088928.60125107
3528226802,935049766,1471.55,3760386269.8315787,510942728.0200921
3532628555,931752071,1473.39,3758013793.6354165,508800345.60460085
3874397818,1081329414,1616.99,3759213628.938144,506307367.64384735
