CPU_Cycles,Execution_Time(ns),Time_clock(ms),avg_cpu_cycles,Std_Dev_CPU_Cycles
2170171079,469297753,642.3,2170171079.0,0.0
2180345703,453812897,610.91,2175258391.0,5087312.0
2167575168,467976543,651.68,2172697316.6666665,5511082.689025834
2171464657,460338060,636.73,2172389151.75,4802491.140184715
2130314068,466461252,649.69,2163974135.0,17369547.044536434
2169433151,482427158,587.76,2164883971.0,15986139.14754853
2137117655,447038037,621.27,2160917354.428571,17704599.25760792
2117526815,458799439,646.67,2155493537.0,21913370.325049404
2145549688,456235799,625.03,2154388664.888889,20895134.58391596
2167978782,479981641,587.27,2155747676.6,20237791.377282232
2141956369,454048447,629.45,2154493921.3636365,19699079.903529428
2135371256,457656493,630.42,2152900365.9166665,19586973.865643512
2142353649,471338207,580.48,2152089080.0,19027250.452927455
2124530867,426051692,576.08,2150120636.214286,19660837.95628779
2131907560,445180879,603.78,2148906431.133333,19529945.25255326
2135271906,448200016,618.32,2148054273.3125,19195642.298288845
2141295926,509084463,579.94,2147656723.470588,18690279.654207803
2126156295,479599887,607.89,2146462255.2222223,18819520.38542974
2106976547,476475294,613.92,2144384060.0526316,20329134.397126336
2113681925,456097581,611.37,2142848953.3,20913740.032981437
2143074326,477460909,580.55,2142859685.3333333,20409776.855933744
2109843791,447235534,623.51,2141358962.8636363,21093127.275398843
2112413079,454028775,634.44,2140100446.173913,21457415.57875058
2135523304,477487783,578.54,2139909731.9166667,21025533.109127093
2126022622,427032780,576.91,2139354247.52,20779692.74990953
2117249767,463116524,637.32,2138504075.1923077,20814848.81494921
2117768898,455815730,627.28,2137736105.6666667,20797729.398790013
2158777892,477942809,584.95,2138487598.0357144,20792919.322074156
2110410673,459594597,651.4,2137519428.2068965,21063781.89011481
2222205951,459704327,647.43,2140342312.3,25690174.011743262
2122432529,458040166,644.62,2139764577.3548386,25469757.17856677
2145000644,466336279,581.04,2139928204.4375,25085182.43181156
2124072449,448821080,630.84,2139447727.0,24851261.008273553
2117626135,463269495,649.72,2138805915.4705882,24759126.22010368
2162229905,479864651,585.89,2139475172.3142858,24712919.62886597
2122458233,426873248,575.19,2139002479.5555556,24527210.69435722
2114607003,459514391,630.31,2138343142.3513513,24514794.623555753
2116596270,473023195,647.98,2137770856.2368422,24439270.4770334
2132370517,472483146,577.76,2137632386.0,24139008.568802696
2123466225,454208226,627.08,2137278231.975,23937753.010279313
2168595062,456336744,621.01,2138042057.097561,24132492.026881833
2109786817,447628892,625.13,2137369313.2857144,24229465.57375518
2129501009,469053082,576.83,2137186329.4651163,23975415.957069602
2125807887,446470091,603.43,2136927728.5,23761987.88375172
2125396590,466719730,640.57,2136671480.9777777,23557883.00698702
2157486841,485989367,584.59,2137123988.8043478,23497309.480218545
2131139257,467832429,577.53,2136996654.0851064,23262031.149240788
2133586279,454872683,626.32,2136925604.6041667,23023596.01794844
2105878032,458490105,644.21,2136291980.6734693,23206440.87770397
2130051826,473484260,577.07,2136167177.58,22989809.373742085
2112557364,448934250,628.2,2135704240.0588236,22997467.96836648
2128286648,444057968,592.54,2135561594.0576923,22798035.83090846
2136900678,458389013,634.83,2135586859.7924528,22582670.796360023
2132507242,473095689,577.69,2135529829.8333333,22376446.980317432
2115549925,444402928,615.71,2135166558.8363636,22332214.386885792
2138486313,466346106,655.51,2135225840.1607144,22136287.65192228
2148774843,472615368,582.04,2135463541.9649122,22013236.764323454
2137672602,471290067,579.25,2135501629.2068965,21824536.80878226
2104107775,450287770,618.6,2134969529.9830508,22014969.11300396
2119928278,451812090,630.27,2134718842.45,21915497.425569493
2142403735,490016754,580.28,2134844824.2950819,21757015.473503657
2125298045,447091579,626.51,2134690843.983871,21614325.46164286
2099860792,455787791,640.16,2134137986.015873,21879532.542475753
2104170427,441970417,617.14,2133669742.90625,22023780.109454814
2146750506,471464226,581.49,2133870985.4153845,21912930.82856785
2116076810,455118700,635.41,2133601376.6969697,21854654.2270119
2107003339,432299383,591.6,2133204391.0597014,21929400.53410634
2155718374,486755182,601.48,2133535479.0441177,21935611.671775613
2139490514,468690495,579.72,2133621783.8985507,21787704.461400747
2122852656,446597316,619.55,2133467939.2142856,21669233.579870984
2179471061,445906198,616.33,2134115870.5070422,22188494.108685255
2138780949,470291534,579.39,2134180663.2638888,22040631.33095877
2121453153,451620718,632.89,2134006313.8082192,21939084.222053558
2118623808,450431377,603.98,2133798442.108108,21862603.29877712
2126021557,453723738,617.5,2133694750.3066666,21734674.85984429
2147021675,470608784,581.72,2133870104.5789473,21644549.828553684
2120976191,449085003,633.7,2133702651.1558442,21553036.58081432
2145082223,445807978,602.84,2133848543.102564,21452662.60989739
2110477686,451773115,631.23,2133552709.4683545,21475976.644606847
2169521385,479278775,587.91,2134002317.9125,21712255.195394043
2122617275,463405326,639.43,2133861761.8271606,21614404.495884743
2100482171,449726752,633.66,2133454693.6463416,21792365.61698695
2144641859,477605843,581.05,2133589478.7710843,21695048.332468525
2124635693,462616675,648.54,2133482886.0833333,21587378.094022475
2122319814,464452481,642.97,2133351555.8235295,21493747.145191245
2116278109,456603015,637.53,2133153027.372093,21446665.095690712
2142016398,472353333,580.25,2133254905.1954024,21343972.343142033
2112563202,451429642,629.92,2133019772.2045455,21335376.564615477
2107275562,447955296,625.47,2132730511.4157302,21388006.553619225
2107104256,455256626,635.48,2132445775.2444444,21437810.732657593
2138390232,468752137,579.4,2132511098.945055,21328700.125520315
2109322827,439450503,606.79,2132259052.5108695,21348295.75154421
2122206260,452801540,631.33,2132150957.967742,21258508.045756724
2124439994,464729196,575.43,2132068926.43617,21159921.395592015
2107429912,464162368,647.76,2131809568.3894737,21197930.487788707
2105069700,440818694,593.86,2131531028.09375,21261280.54565097
2104627975,466553864,638.67,2131253677.030928,21325254.7434587
2142630898,464699986,580.38,2131369771.122449,21246961.330536142
2107599146,458890474,644.4,2131129663.7979798,21272594.63406981
2113088164,466530919,646.72,2130949248.8,21241950.40995318
2113190677,453654229,620.41,2130773421.3564355,21209536.933430504
2144789356,469860486,581.07,2130910832.4803922,21150443.982867353
2120061809,446995541,626.64,2130805502.1553397,21074387.25407919
2101856439,437033439,599.86,2130527145.7788463,21162230.349307388
2141413798,471640061,580.11,2130630828.1809523,21087741.81309955
2113677004,442740943,613.85,2130470886.4433963,21051928.222924467
2108773644,458502839,635.95,2130268108.4766355,21057074.396438785
2116791614,458136621,645.78,2130143326.1203704,20999068.57795957
2142658796,477980349,580.48,2130258146.9449542,20936552.27635861
2097988670,449896021,629.87,2129964788.0636363,21065013.58731185
2107270741,449164521,636.62,2129760337.1891892,21079260.049935006
2123867570,447849522,618.35,2129707723.1964285,20992265.228445068
2153505316,465564499,583.35,2129918321.3628318,21017678.195202313
2107747157,429914769,591.56,2129723837.4649122,21027172.19180754
2127819514,448345715,638.7,2129707278.1304348,20936296.657136563
2114808944,468162082,572.86,2129578844.2155173,20891308.712117817
2133858256,453043867,619.07,2129615420.3846154,20805567.81300334
2122194093,447576776,616.08,2129552527.779661,20728387.28223857
2138318411,459488781,625.98,2129626190.6638656,20656613.816322062
2112187658,464203094,572.22,2129480869.5583334,20631358.790093172
2097750191,462465234,642.82,2129218632.5454545,20745779.39082715
2137973757,462672804,641.64,2129290395.8606558,20675655.831161782
2118477993,453178851,638.46,2129202490.1463416,20614315.879193142
2131822805,471929398,577.76,2129223621.717742,20532362.93539203
2112891287,443170898,608.41,2129092963.04,20501760.750178624
2124359429,437747988,605.64,2129055395.3095238,20424561.6899547
2150256326,476092770,582.62,2129222331.7716537,20430108.05108836
2124799184,460897476,627.94,2129187775.9296875,20353872.173251126
2102538274,461384297,648.45,2128981190.643411,20409099.83830573
2106748051,441850791,614.7,2128810166.4923077,20423036.586856566
2121597426,466198830,574.76,2128755107.40458,20354619.773863085
2120827825,449655314,615.78,2128695052.2348485,20289019.1371298
2103248246,477630993,661.79,2128503722.8646617,20331781.5776861
2119259783,448410446,613.51,2128434738.238806,20271392.097933285
2166956924,484309276,587.15,2128720087.762963,20464512.688908275
2104051756,458544777,642.76,2128538702.9705882,20497767.072972994
2125511721,452925126,615.84,2128516608.2116787,20424446.06837633
2191740935,477246455,593.93,2128974755.5072465,21044982.027790952
2175347072,458654338,605.1,2129308369.294964,21332232.570033852
2117938772,470010553,605.18,2129227157.8857143,21277463.052704807
2125614245,492010920,620.37,2129201534.390071,21204044.395155407
2148956948,507770756,582.23,2129340657.0211267,21193732.341527704
2175417123,440585623,591.23,2129662870.06993,21465689.57526494
2105868032,461612649,629.58,2129497628.1388888,21482099.452612236
2137762791,446525275,603.23,2129554629.262069,21418819.91436684
2148371700,472833676,582.12,2129683513.3082192,21401687.40577755
2103208244,441709417,606.48,2129503409.4353743,21439501.381293885
2116022952,461702711,654.26,2129412325.2635136,21395467.30534818
2126955923,470342451,576.32,2129395839.3422818,21324492.732698686
2117008892,445317160,614.03,2129313259.6933334,21277183.101533648
2129395010,463149740,632.69,2129313801.0860927,21206612.855503157
2103549450,433482203,594.47,2129144298.7763157,21239117.866746925
2132325668,471231377,577.68,2129165092.0392158,21171147.33774123
2167233331,448886523,614.13,2129412288.3961039,21322668.698534958
2138816826,453420554,626.04,2129472962.832258,21267107.660598263
2097446160,442953552,614.45,2129267662.8141026,21352365.89527541
2133278757,466079120,577.91,2129293211.1847134,21286647.974796973
2124634538,457045812,636.87,2129263725.9113925,21222394.257614523
2145880604,449149715,612.46,2129368234.5786164,21196298.311822407
2138206275,470145962,579.3,2129423472.33125,21141432.904766373
2119223883,461215566,639.29,2129360120.8447206,21090902.79677402
2133845825,445081285,616.32,2129387810.3765433,21028641.90808896
2092294625,444832387,628.39,2129160244.8220859,21163180.74120795
2143907180,471964329,580.71,2129250165.1585367,21129770.605600566
2122710989,462158383,645.55,2129210533.7878788,21071756.686624143
2126594190,473580026,655.19,2129194772.680723,21009167.167979416
2101623834,456781446,643.64,2129029677.239521,21053898.93325828
2165107916,489068544,586.6,2129244428.6607144,21173802.283514597
