CPU_Cycles,Execution_Time(ns),Time_clock(ms),avg_cpu_cycles,Std_Dev_CPU_Cycles
3129495379,1043795692,1307.63,3129495379.0,0.0
3156243303,1120892476,1357.93,3142869341.0,13373962.0
3291939460,1186426802,1411.19,3192559380.6666665,71115694.40380074
3166010942,1094337838,1361.28,3185922271.0,62651697.24024372
3122866125,1059071574,1325.84,3173311041.8,61452099.56873939
3159220718,1090235780,1355.88,3170962654.5,56343071.73373277
3393364471,1213765099,1453.08,3202734342.571429,93689256.31080188
3105701760,1073100957,1337.91,3190605269.75,93328816.59549133
3063485650,1061778364,1302.93,3176480867.5555553,96635657.75412399
3472259539,1218723119,1484.41,3206058734.7,127586274.09696005
3117342031,1074316226,1327.19,3197993579.818182,124293535.61004286
3121534445,1043635892,1304.07,3121534445.0,0.0
3149281237,1086995806,1354.88,3135407841.0,13873396.0
3130038006,1068231158,1332.07,3133617896.0,11606975.657821493
3386593803,1216370050,1474.77,3196861872.75,110002014.51975581
3145742449,1087043310,1353.7,3186637988.0,100491123.17139651
3129913567,1073389385,1344.92,3177183917.8333335,94139712.18595938
3212934608,1092640852,1367.37,3182291159.285714,88049691.24903618
3474439582,1204761908,1467.18,3218809712.125,126960180.85702774
3119422877,1079403929,1344.18,3207766730.4444447,123707233.32062128
3056070989,1074579163,1301.96,3192597156.3,125873648.69492164
3463511152,1249285519,1473.27,3217225701.3636365,143071479.23404574
3139481520,1081553022,1350.18,3210747019.5833335,138655570.80916208
3120459435,1061739576,1324.67,3203801820.769231,135371054.3146818
3185913368,1099658014,1363.32,3202524074.142857,130528138.82011116
3523948613,1262846030,1502.27,3223952376.733333,149432812.60256124
3155259851,1077647748,1349.28,3219659093.875,145640016.1535028
3155182321,1072684757,1346.75,3215866342.529412,142103719.11272794
3684285072,1324638246,1566.52,3241889605.2777777,174883335.90678635
3118768216,1072653902,1332.2,3235409532.1578946,172424858.09529874
3139328043,1079610684,1348.28,3230605457.7,169358550.42266876
3139911874,1089466844,1352.15,3226286715.6190476,166401696.4132426
3922195498,1423401234,1655.01,3257918933.0,217815175.1398686
3145877527,1074087092,1344.21,3253047567.521739,214249285.26975182
3153773535,1079105385,1350.32,3248911149.5,210674322.92163083
3121836685,1073153608,1339.98,3243828170.92,207914414.20647538
4518561419,1640691173,1888.52,3292856372.769231,318841476.50519544
3129949167,1071711893,1342.34,3286822772.5555553,314390233.2370193
3098438737,1077171731,1327.33,3280094771.285714,310698177.1063646
5873237613,2207264216,2454.83,3369513489.965517,563102498.4934175
3234190561,1068238871,1351.62,3365002725.6666665,554170556.6503079
3220254502,1068976067,1345.36,3360333428.129032,545758612.3468541
3212650307,1070263647,1342.37,3355718330.59375,537777692.328919
7287127289,3639085720,3658.63,3474851935.3939395,857094608.8439673
3211214531,1065228580,1341.68,3467097894.0882354,845570273.74294
3231442077,1081136701,1350.09,3460364870.742857,834327376.2137764
3881366185,1368165575,1621.12,3472059351.6944447,825562008.7291347
3669571436,1289468196,1532.48,3477397516.135135,814958983.5593203
3757306704,1299038682,1569.16,3484763547.394737,805411609.288806
3891541676,1365450727,1625.09,3495193755.820513,797614461.8378141
4383056472,1645536986,1831.6,3517390323.725,799686767.6986452
3740543738,1395555641,1597.9,3522833089.9268293,790624019.2394778
3423105291,1238307634,1471.9,3520458618.5238094,781303074.6132659
3743510152,1346591767,1564.53,3525645863.4883723,772896150.0752355
3205973750,1144754057,1372.72,3518380588.181818,765546618.1796627
3293096758,1119752708,1402.07,3513374280.8444443,757720799.4553632
3194412066,1088126610,1360.53,3506440319.652174,750881535.1132628
3617136615,1247439134,1535.3,3508795559.9787235,743022215.856285
3203431239,1087821058,1361.61,3502433803.2916665,736534103.9010438
3205990069,1092522597,1367.5,3496383931.163265,730183717.1528444
3236023678,1094380177,1380.45,3491176726.1,723763448.8030022
3615055638,1275392740,1530.79,3493605724.372549,716838395.8541913
3182006618,1095805896,1366.39,3487613433.8653846,711200885.6239123
3251304784,1104794388,1383.47,3483154780.09434,705192821.8122758
3684091306,1311702095,1560.49,3486875826.8703704,699157751.7351888
3250282419,1112147779,1388.32,3482574128.5454545,693493436.0965792
3169128326,1079025619,1345.07,3476976882.071429,688526076.675976
3120332560,1078034164,1343.98,3470719964.140351,684063972.3460963
3905941453,1395826686,1684.49,3478223782.913793,680503521.2622161
3226146550,1101617006,1385.87,3473951287.440678,675496031.1094555
4602695446,1739022546,1927.23,3492763690.0833335,685252111.5195898
4142067190,1486594793,1737.31,3503408009.7540984,684595261.8034879
3193299838,1108204379,1373.87,3498406265.048387,680174633.8588746
3247462326,1110599657,1393.22,3494423027.9206347,675483369.6579803
3202971163,1084139798,1361.67,3489869092.53125,671159412.4829718
4509019988,1651872762,1887.98,3505548337.076923,677686179.6679707
3272477362,1107641303,1388.37,3502016958.6666665,673134968.8489115
3224911451,1104631737,1378.25,3497881055.567164,668937079.2958302
6042589944,2274367849,2525.25,3535303245.102941,731248543.7324944
3223654943,1065194247,1346.9,3530786603.0434785,726885140.1871278
3190870604,1100526550,1371.95,3525930660.2,722800809.9297597
3268881194,1124518637,1406.8,3522310245.183099,718331542.5912117
7379614572,3522607455,3614.64,3575883916.388889,844164291.5129402
3076783721,1164939182,1440.91,3569046927.410959,840367254.5114374
3104819682,1170355155,1448.39,3562773586.256757,836388993.7712123
3201972156,1113781900,1377.84,3557962900.52,831824393.2345412
3517013112,1236073596,1491.76,3557424087.513158,826346918.110717
3250306744,1127312204,1395.93,3553435550.5844154,821699517.8921489
3235671649,1080656271,1351.71,3549361654.4102564,817197500.5549165
3502460579,1193835474,1463.54,3548767969.911392,812025820.7348077
3221918283,1115633532,1396.82,3544682348.825,807751385.6652008
3185606343,1103168215,1366.21,3540249311.716049,803728409.5690858
3215857475,1093859505,1376.52,3536293313.707317,799605654.5946041
3528255315,1236517429,1501.59,3536196470.3493977,794774640.0709243
3215536202,1105537353,1383.84,3532379086.202381,790794788.4863466
3212508301,1112588878,1382.51,3528615900.4941177,786885528.5298195
3616896312,1293756163,1540.71,3529642416.9069767,782354480.0092355
3834149146,1495959540,1646.09,3533142494.2528734,778522121.4092054
3271892832,1121197073,1392.45,3530173748.090909,774581178.1701385
3203153963,1099062040,1377.81,3526499368.483146,770988191.836375
3627363124,1291676402,1532.83,3527620076.8777776,766765855.4819673
3199246604,1096598350,1367.89,3524011577.175824,763309258.1393996
3209634746,1097192225,1375.28,3520594437.7065215,759849038.686821
3779176422,1352838964,1598.8,3523374889.1505375,756223194.385195
3514176205,1206947820,1489.52,3523277030.808511,752190567.256545
3262982992,1121312552,1403.69,3520537093.5578947,748692620.8395408
3205656795,1100649243,1377.07,3517257090.4479165,745468795.7470223
3816776554,1371998680,1620.27,3520344919.9690723,742233080.1113701
3235735300,1099676236,1374.65,3517440740.1734695,738990215.3655994
3238217430,1093102878,1376.0,3514620302.6969695,735778423.0093962
3190096122,1087411987,1355.95,3511375060.89,732802031.0648142
3977991637,1488365312,1697.25,3515995026.990099,730627405.3453461
3140527988,1142729121,1383.09,3512313977.5882354,727977660.2789888
3207547862,1105862363,1381.19,3509355083.262136,725051259.9805615
4821414981,1856175345,2035.13,3521971043.8173075,732828944.439564
3255069422,1164612577,1393.82,3519429123.609524,729791472.2464147
3341265267,1173432559,1419.55,3517748332.5094337,726545069.0792298
3542294618,1296745392,1510.99,3517977737.046729,723145886.0188228
5305156344,2756579944,2657.54,3534525687.111111,739863665.3982391
3635821957,1263888576,1518.36,3535455010.688073,736525297.9451967
3564897462,1245769563,1489.21,3535722669.336364,733175137.5747815
7125299062,3266666868,3172.75,3568061195.396396,804822251.8125846
3182675580,1096632090,1366.27,3564620252.401786,802040974.1438466
3294579542,1102023270,1376.29,3562230511.60177,798884652.6384351
3298287454,1097654367,1377.85,3559915221.622807,795753756.1129624
3461717918,1188610832,1446.54,3559061332.026087,792338857.3667426
3135216004,1070811375,1309.48,3555407492.9913793,789888663.3800173
3221193503,1069078343,1345.84,3552550963.162393,787107329.6478144
3552114958,1239994666,1484.66,3552547268.2033896,783765033.9139887
3350773932,1128328561,1399.91,3550851693.9495797,780682261.9845471
3143471349,1136838300,1350.61,3547456857.741667,778304172.8816869
3217375479,1106147130,1382.89,3544728912.46281,775657223.5168538
3536094331,1268687325,1506.59,3544658137.204918,772472151.763633
3203359144,1088155477,1360.25,3541883348.6422763,769935861.8138269
3177079840,1091080057,1358.46,3538941384.862903,767518833.497882
3205263261,1088913698,1368.89,3536271959.872,765020314.3634378
3630425406,1251001001,1517.32,3537019209.4444447,762024271.000827
3213924080,1066427221,1342.78,3534475153.3070865,759555263.4687464
3289130966,1104092233,1374.04,3532558401.84375,756890723.8551788
3595207906,1257168895,1502.09,3533044056.9147286,753971352.3444934
3212381722,1105710532,1342.08,3530577423.5692306,751588188.1659396
