CPU_Cycles,Execution_Time(ns),Time_clock(ms),avg_cpu_cycles,Std_Dev_CPU_Cycles
1801107364,501839755,592.19,1801107364.0,0.0
1708276700,462595331,507.95,1754692032.0,46415332.0
1809231019,477882657,492.09,1772871694.3333333,45795803.39093878
1776206138,480073678,573.3,1773705305.25,39686602.62163162
1674285103,438656563,510.14,1753821264.8,53305922.75335625
1797859431,459019903,488.82,1761160959.1666667,51354552.54862394
1747620978,454811227,557.8,1759226676.142857,47780571.87228264
1742304870,469516440,568.81,1757111450.375,45043639.148387186
1753971416,441375713,524.47,1756762557.6666667,42479014.03780954
1723425756,455190718,468.5,1753428877.5,41521570.073211566
1750969531,462190277,549.83,1753205300.5454545,39595576.36616013
1752291046,462047635,551.04,1753129112.6666667,37910720.28651878
1735049886,485328404,577.54,1751738402.9230769,36740658.71011905
1690694022,449428753,459.69,1747378090.0,38737792.428395525
1754091528,464017929,555.06,1747825652.5333333,37461711.508879386
1689101858,450021859,520.11,1744155415.375,38958031.28787773
1725672687,460954693,469.1,1743068196.0588236,38044221.713309966
1650127657,452304757,522.64,1737904832.7777777,42663558.3060213
1729248931,464885711,548.23,1737449259.0,41570616.498775214
1755042103,455224345,546.92,1738328901.2,40699041.584344774
1792054187,468484138,487.23,1740887248.142857,41333255.45190184
1727370073,435827423,523.59,1740272831.090909,40480975.87545199
1741437642,446919347,506.87,1740323475.0434783,39591888.03940056
1715861393,461053401,550.04,1739304221.625,39065311.31921784
1813251929,465851513,492.95,1742262129.92,40927202.71516035
1673244697,466955841,544.83,1739607613.2692308,42270236.92595378
1736758913,474625594,578.13,1739502105.851852,41483557.9693032
1804561072,473880162,490.66,1741825640.357143,42487566.682140194
1788684731,473945512,568.98,1743441471.0689654,42615146.671846755
1741360311,476748192,571.75,1743372099.0666666,41900540.13296205
1658977717,458830233,534.65,1740649699.6451614,43833377.47635258
1701032895,456406682,462.39,1739411674.5,43690230.25105557
1728867780,457429530,541.93,1739092162.5454545,43061113.664670415
1649357590,433462821,501.47,1736452910.4117646,45050959.766245
1660144705,433591509,493.08,1734272675.9714286,46186762.98151704
1689513131,448967935,459.41,1733029355.2777777,46130962.129700534
1734615513,457021488,541.04,1733072224.4054055,45504027.713489
1685479855,435329279,492.38,1731819793.631579,45542992.813941315
1766305513,463594150,480.21,1732704042.8461537,45284573.2093083
1724299570,423293712,496.57,1732493931.025,44734181.43431964
1746688962,466262886,562.75,1732840151.292683,44239498.91683057
1742261172,456711883,540.44,1733064461.3095238,43733256.99836087
1769847685,459702757,481.23,1733919885.1162791,43575821.795766756
1727274972,463372185,565.75,1733768864.3636363,43089177.5837488
1653946423,467990858,547.13,1731995032.3333333,44202520.90225732
1720945544,467616208,565.44,1731754826.0652175,43749103.213473104
1769181904,466419738,481.05,1732551146.8723404,43616863.7290013
1734881061,471214038,558.05,1732599686.75,43161412.90723555
1731298720,439928136,505.9,1732573136.4081633,42719116.07960579
1767520616,467285257,480.6,1733272086.0,42571850.05511137
1648089278,455583822,525.18,1731601834.862745,43775710.6419451
1706726499,486579914,580.49,1731123463.0192308,43487141.69520561
1754582449,427021780,493.42,1731566085.3962264,43193024.02133227
1699885034,449338648,462.43,1730979399.2592592,43003850.03470579
1725159327,460417114,540.99,1730873579.7636364,42618207.31812661
1735604224,477406100,568.11,1730958055.5535715,42240619.6466779
1741970513,451945909,533.46,1731151256.5614035,41893403.5122119
1694902888,449085508,460.7,1730526284.689655,41797862.036836684
1723401111,448438438,528.88,1730405519.0338984,41452333.52658594
1751228857,458101600,551.25,1730752574.6666667,41191796.489203244
1747561286,452336218,475.09,1731028127.3114755,40908483.82336147
1713192913,442368545,532.53,1730740462.564516,40639388.02867917
1708146483,448181578,535.34,1730381827.9682539,40414341.3585866
1739149557,446048286,527.11,1730518823.734375,40112102.315702595
1694268536,449368737,460.56,1729961127.0,40051627.227790065
1729346910,454644059,544.06,1729951820.6818182,39747118.511917
1741058233,462519451,557.83,1730117588.0298507,39472362.84123363
1643041126,442954667,503.27,1728837051.8235295,40558839.497004874
1763186274,461081491,479.29,1729334866.6376812,40472587.409875885
1749773371,454047860,543.25,1729626845.2714286,40255586.6110251
1726783502,489258342,590.19,1729586798.1830986,39972495.556351796
1800929455,468019224,489.48,1730577668.4166667,40562522.35709925
1749141236,463637727,551.08,1730831963.8630137,40341487.066635564
1736471944,455266994,553.12,1730908179.8108108,40073273.55760627
1743030503,438746812,506.99,1731069810.7866666,39829497.9706682
1687266940,447815428,458.7,1730493457.2236843,39880184.64778795
1668114189,450463025,521.38,1729683336.857143,40244908.056014016
1722475018,456911522,535.27,1729590922.5128205,39994317.83204287
1744315178,464648869,511.72,1729777305.493671,39774459.895665325
1761620824,494732059,478.83,1730175349.475,39683110.33823717
1721820442,454939728,515.77,1730072202.4691358,39448181.729766905
1738723519,466902124,551.05,1730177706.3292682,39218402.67934671
1771449464,461151167,481.64,1730674956.4216866,39240630.914770246
1711684168,478292676,568.25,1730448875.607143,39060698.65985557
1729052243,438668391,521.02,1730432444.6352942,38830542.06306526
1707112104,462759591,560.87,1730161277.8837209,38684990.377527244
1762004012,455869193,479.04,1730527286.321839,38611497.65192292
1728433221,455145566,549.03,1730503490.125,38392128.92952157
1704271166,462299863,536.63,1730208744.9101124,38275831.049652375
1716672860,458656927,553.72,1730058346.1888888,38089029.76896732
1695419629,447566653,460.79,1729677700.945055,38050910.467259966
1727834888,441984694,518.96,1729657670.3695652,37844029.40951003
1704633167,439926672,526.26,1729388589.688172,37728398.912373215
