CPU_Cycles,Execution_Time(ns),Time_clock(ms),avg_cpu_cycles,Std_Dev_CPU_Cycles
4569308705,1377191976,1910.25,4569308705.0,0.0
4953396021,1618269745,2072.66,4761352363.0,192043658.0
4461822299,1311050769,1865.56,4661509008.333333,211008456.37288618
4511794074,1307170553,1886.62,4624080274.75,193897284.1186993
4425131973,1307830299,1849.95,4584290614.4,190813505.06177366
4769064529,1472825288,1995.24,4615086266.833333,187305514.6161113
4470692561,1332912772,1869.32,4594458594.571428,180622404.510194
4455460756,1305833003,1863.09,4577083864.75,175098729.40497628
4682074921,1481851907,1958.26,4588749537.666667,168349784.9666975
4458691931,1313103310,1864.66,4575743777.0,164407522.28279424
4522275748,1304921825,1891.56,4570883047.090909,157508230.75436676
4512156780,1375711425,1926.41,4565989191.5,151673620.77966842
4772953258,1542163186,2057.09,4581909504.307693,155810002.40148512
4576591312,1355675479,1935.03,4581529633.428572,150148522.17806464
4575110982,1351944142,1933.97,4581101723.333333,145066089.41031262
4697543537,1531666593,2000.33,4588379336.6875,143259779.75426996
4878355285,1506830403,2040.23,4605436745.411765,154826970.64275867
4430367996,1343268129,1885.04,4595710703.777778,155716977.11768305
4577955625,1362415106,1941.26,4594776225.947369,151615621.40439093
5110536129,1618972489,2178.36,4620564221.1,185669935.65733382
4392687426,1349071403,1876.55,4609712945.142858,187581294.10968634
4504396647,1344412143,1924.04,4604925840.681818,184576781.5634425
4443556286,1344798359,1890.74,4597909773.086957,183494686.0865246
5134159115,1699740895,2166.5,4620253495.666667,209164851.859199
4424071453,1335698581,1889.61,4612406213.96,208513437.85847542
4430221801,1337036335,1891.81,4605399121.153846,207444239.16442084
5445296418,1781802678,2278.43,4636506428.444445,258066991.54440653
4476692015,1352829647,1907.38,4630798770.821428,255146311.53786123
4460478330,1344127282,1896.32,4624925652.172414,252627480.1828682
4554332870,1351835957,1930.84,4622572559.433333,248704369.22140437
6009848919,2068641162,2522.83,4667323409.741936,346320278.7279061
4448563715,1405342773,1897.01,4660487169.28125,342984607.40656036
4956755050,1875586846,2096.4,4669464983.848485,341544838.37237966
7332859534,2874619719,3070.53,4747800117.676471,561892236.1008705
4701224245,1368882169,1966.1,4746469378.457143,553861391.1504773
4613733245,1332839903,1929.84,4742782263.638889,546550162.6111665
4520374082,1316411119,1890.52,4736771231.7027025,540318809.4326311
9681109244,4215119741,4544.48,4866885389.921053,954285257.2946757
4658027356,1364101202,1947.45,4861530055.717949,942549686.6557521
4596550519,1348821362,1958.26,4854905567.3,931612249.836093
4877731574,1514638857,2062.99,4855462299.170732,920187728.4660933
4524302143,1360870552,1930.67,4847577533.547619,910567844.9295232
4492061780,1332799206,1912.85,4839309725.325582,901511285.6956307
4523007488,1352945076,1926.51,4832121038.113636,892453780.7189733
4744385619,1477437673,2019.79,4830171362.133333,882576675.6717352
4349358637,1339869146,1859.31,4819718911.586957,875742252.6957933
4474748379,1338664147,1907.77,4812379113.021276,867804754.7267829
4763066219,1509904775,2020.35,4811351761.0625,858746426.9595712
4388642312,1344074114,1874.15,4802725037.612245,852037379.6529776
4382072142,1328760184,1852.67,4794311979.7,845527373.9079645
4387112119,1327056253,1866.31,4786327668.705882,839098343.3168879
4768039097,1530307522,2018.04,4785975965.403846,830994718.5488747
4435020695,1335646762,1881.27,4779354167.849056,824501692.898376
4631741249,1363675186,1962.95,4776620595.277778,817074130.4096867
4457459385,1357369914,1904.77,4770817664.181818,810734336.884671
4912639703,1594240961,2076.76,4773350200.589286,803682522.122257
4510307752,1347023484,1924.07,4768735420.789474,797349676.1278751
4469812708,1323617416,1894.39,4763581580.913794,791403217.2474152
5055936154,1635538590,2146.43,4768536743.169492,785574685.0715759
4519168754,1356085165,1927.09,4764380610.016666,779654576.8388762
4486454411,1354240215,1914.42,4759824442.819673,774042531.1843324
4513196109,1353020836,1928.91,4755846566.467742,768403211.5581971
5122200829,1697561915,2167.08,4761661713.4920635,763654348.8522378
4361494316,1333816280,1862.62,4755409097.90625,759288458.2160623
4515276667,1354931858,1924.95,4751714752.815385,754004591.6023597
5443567605,1775374101,2277.7,4762197371.787879,753028209.957667
4430182141,1324372397,1875.46,4757241920.582089,748470947.1791555
4448997919,1326432868,1884.14,4752708920.558824,743873051.4333861
4519506889,1345442312,1913.64,4749329180.971014,738988722.997489
5743085214,1950865486,2410.0,4763525695.728572,743107780.4781166
4476952741,1325140931,1898.64,4759489456.929578,738628435.0540795
4485527640,1374788589,1944.82,4755684431.694445,734181537.5481206
7078757008,2523804388,2961.91,4787507343.69863,777529997.008594
4573898671,1375945780,1945.71,4784620740.013514,772652272.1224926
4673736478,1399773453,1995.36,4783142283.1866665,767589342.2011178
4745819356,1402520283,2016.06,4782651192.039474,762534550.912548
10149026285,4392289255,4763.91,4852344375.064935,971107691.396592
4644756814,1377741094,1968.98,4849682996.076923,965145143.4930178
4660037848,1394126662,1987.9,4847282424.582278,959251498.615489
4795627454,1513729152,2039.18,4846636737.45,953254599.0783687
4657849186,1392667545,1989.03,4844306026.9382715,947581373.3165627
4587634820,1382638978,1951.36,4841175890.268292,942206956.9412156
4437310314,1356931431,1893.74,4836310039.951807,937549781.0419708
4656001124,1503207813,2004.89,4834163505.238095,932157574.0246501
4461706915,1334639814,1902.01,4829781663.0,927527911.4985964
4510538833,1337724597,1920.98,4826069537.069767,922754428.1186382
4794970532,1518096717,2042.38,4825712077.24138,917441903.3762856
4670773988,1441287377,1975.56,4823951417.136364,912362083.1412394
4450627041,1335471053,1885.3,4819756761.224719,908074932.2447888
4242845656,1343896698,1815.94,4813346637.833333,905038585.4316677
4835202553,1532449125,2036.49,4813586812.725275,900054993.0243858
