CPU_Cycles,Execution_Time(ns),Time_clock(ms),avg_cpu_cycles,Std_Dev_CPU_Cycles
2887862214,762118001,958.17,2887862214.0,0.0
2865353409,724415438,779.6,2876607811.5,11254402.5
2843034063,762551882,981.61,2865416562.0,18301070.49229192
2827528635,736612185,946.8,2855944580.25,22811229.705780387
2820234471,722259798,905.07,2848802558.4,24906137.09460806
2848539733,725719930,775.02,2848758754.1666665,22736299.498096272
2808451792,715653009,883.72,2843000616.714286,25338265.97930013
2816811283,720938177,924.93,2839726950.0,25234748.14173096
2853730588,729050816,776.6,2841282909.7777777,24195162.25744596
2818828924,654281084,768.66,2839037511.2,23921572.313614797
2833898856,685403178,859.79,2838570360.7272725,22856114.1046521
2770751668,695753476,838.46,2832918803.0,28813358.15484652
2844220003,741674754,773.87,2833788126.076923,27846292.427423526
2782421500,694250888,809.51,2830119081.357143,29917113.89315317
2826354706,706524601,842.79,2829868123.0,28917927.164208185
2748585399,681703046,832.7,2824787952.75,34221382.95046056
2838068603,728539814,772.61,2825569167.470588,33346354.812925376
2807336526,722539731,923.25,2824556242.9444447,32674837.731072694
2769976224,745157736,932.22,2821683610.368421,34058618.58703925
2838950858,725018315,772.5,2822546972.75,33408868.91966163
2780472083,723794592,894.36,2820543406.571429,33812541.32730655
2814143779,698473847,872.81,2820252514.409091,33062022.021138657
2763748025,715101353,890.35,2817795797.478261,34327123.507170595
2888441170,731213359,785.94,2820739354.6666665,36449109.70276563
2810377169,693541310,874.57,2820324867.24,35770368.88325346
2805454441,736570404,927.39,2819752927.769231,35192113.8696344
2804139162,711318905,916.09,2819174640.148148,34659917.76078579
2827931955,719507877,769.56,2819487401.392857,34074141.27033495
2835432643,724353377,925.89,2820037237.3103447,33607676.85086988
2818643182,718784423,934.66,2819990768.8,33043749.265984252
2937635674,721616963,799.27,2823785765.7419353,38584027.545523725
2796027940,719616609,922.77,2822918333.6875,38282241.92296745
2807112072,725121042,927.13,2822439356.060606,37794992.676029064
2781697491,734948495,907.16,2821241065.9117646,37865981.76411315
2915419874,721318138,793.2,2823931889.0,40485107.29015563
2804639604,680889841,816.09,2823395992.1944447,40044555.22600811
2845475943,702790159,881.96,2823992747.6216216,39661656.34670002
2786450061,692539183,853.48,2823004782.1842103,39595022.565979965
2834853190,716186633,771.48,2823308587.5128207,39128940.70081791
2780985294,695941914,852.65,2822250505.175,39197693.06310797
2787155778,695438582,871.78,2821394536.219512,39093373.38185849
2833050397,727331115,770.85,2821672056.714286,38666027.25895569
2793181935,734174707,940.59,2821009495.744186,38454261.71083939
2894850413,732887395,949.79,2822687698.409091,39575578.30429948
2774994268,708748006,867.04,2821627844.4,39759856.01025487
2817604891,711402246,766.7,2821540388.8913045,39329684.848407224
2796885180,726420510,902.0,2821015809.9787235,39071362.64102798
2775468420,693552257,858.51,2820066906.0208335,39205707.34140291
2870343609,718179337,923.34,2821092961.1836734,39449362.95041888
2825246910,729625951,768.92,2821176040.16,39057206.71206622
2754034302,705996233,884.62,2819859535.490196,39777047.869730674
2868920394,691657336,841.57,2820803013.5384617,39964785.07421326
2917193089,718964506,793.69,2822621694.207547,41701842.47185361
2794323265,725354508,938.86,2822097649.2222223,41489687.63433255
2865680506,704191061,898.14,2822890064.8,41521126.142982334
2802161155,697556316,845.15,2822519905.696429,41240200.155570894
2791196395,709703992,759.6,2821970370.4210525,41083180.28762207
2782795602,704720550,866.08,2821294943.37931,41045471.38445388
2805041273,731418792,941.91,2821019457.440678,40750186.85017698
2844961790,731670269,774.37,2821418496.3166666,40525252.896197125
2880974475,665412803,827.49,2822394823.836066,40897018.96908917
2797387012,695442956,869.54,2821991472.032258,40688002.41270605
2782267001,694238705,858.92,2821360924.873016,40667998.60178003
2833800001,720287773,770.99,2821555285.4375,40378509.50233329
2888485613,711835821,917.06,2822584982.7846155,40904746.51096546
2775737580,711737871,897.78,2821875173.651515,40995069.01177957
2823335624,700311775,875.26,2821896971.4179106,40688370.88201706
2853635364,727027785,776.62,2822363712.4852943,40568375.130513854
2833974546,717302857,902.35,2822531985.4347825,40297226.46538085
2828992852,713900555,900.42,2822624283.5285716,40015699.10966311
2984587693,730905207,814.41,2824905458.3098593,44079092.074966334
2792272720,682500609,835.63,2824452225.8333335,43938201.04888612
2830826503,720432404,936.76,2824539544.6986303,43642506.55704049
2827927055,687835072,853.77,2824585321.864865,43348386.26502538
2855039795,725398898,776.85,2824991381.5066667,43199879.69016308
2793875043,709576585,849.43,2824581956.0,43060958.48860279
2801048141,702234265,880.84,2824276322.038961,42863321.71165897
2819565626,710956414,851.74,2824215928.5,42590967.64869483
2906493138,755695491,790.66,2825257412.164557,43308593.85047352
2779362150,692887868,853.44,2824683721.3875,43338083.02227608
2801376820,705993278,894.02,2824395981.8641977,43146557.66983201
2830097049,721836988,770.08,2824465507.0731707,42887226.812097795
2793441796,700742531,888.02,2824091727.4216866,42762251.250188015
2757078403,718857871,887.07,2823293949.75,43123847.79286258
2800072394,717128856,916.99,2823020754.9764705,42942487.05290977
2819307944,714072701,766.94,2822977582.755814,42693946.821867235
2763530449,694259572,861.81,2822294282.367816,42918236.57236181
2747195952,714150812,887.33,2821440892.25,43409715.437343344
2760155935,702274863,883.09,2820752297.224719,43645809.37595892
2805005289,722599502,763.36,2820577330.4666667,43434031.36256659
2775434576,724270476,898.09,2820081256.2417583,43450341.91753367
2794017451,693632773,858.66,2819797954.0108695,43297977.833317906
2820800249,724555525,767.79,2819808731.376344,43064687.92222077
2894969748,685144168,891.57,2820608316.6595745,43523513.32473832
2797779311,703162415,890.28,2820368011.336842,43356480.91030398
2744637071,697764517,851.72,2819579147.375,43810072.498442285
2822409874,710746234,767.92,2819608330.123711,43584600.25816878
2781710035,706539915,874.16,2819221612.8265305,43528610.18734144
2748367091,719075732,896.46,2818505910.585859,43883933.60057441
2794802584,693034816,882.45,2818268877.32,43727610.54665876
2802204101,717268775,762.49,2818109820.1287127,43539661.47214841
2805871305,747088838,954.69,2817989834.6862745,43342483.23922568
2743292372,713148519,901.48,2817264616.6019416,43749037.82818971
2805317663,712738761,763.34,2817149742.048077,43553804.40431789
2740537193,701440048,861.74,2816420098.7238097,43979941.982030675
2810373867,700287581,892.28,2816363058.8018866,43775899.956209734
2756995847,701272342,853.94,2815808225.046729,43943724.11184684
2880618277,724197411,783.79,2816408318.1203704,44178079.853907004
2781995680,712211629,912.97,2816092605.8440366,44097188.43567563
2901977704,725084744,882.69,2816873379.4636364,44646740.11420953
2807888611,717864893,764.4,2816792435.603604,44453280.780975424
2810797957,675128950,765.3,2816738913.473214,44257976.08198136
2775224912,735465192,934.89,2816371532.9292035,44232913.998642266
2818685157,719878617,888.58,2816391827.877193,44039011.098528065
2805405393,713197176,763.56,2816296293.6608696,43858982.02629208
2904274175,701091222,939.39,2817054723.672414,44420460.44795462
2750260061,701148134,873.21,2816483829.119658,44655563.27702219
2796832779,730629084,931.52,2816317294.7966104,44502414.04538463
2810974428,715630730,764.92,2816272396.7563024,44317718.380661346
2786098523,702797377,869.92,2816020947.8083334,44217835.278152056
2729414546,685484681,838.1,2815305192.421488,44727338.75067664
2840297446,722475584,773.13,2815510046.9590163,44600614.529346704
2805654425,695580145,861.01,2815429919.9512196,44427757.3074927
2778051437,717410284,925.7,2815128480.572581,44374363.67776356
2777246382,724589137,927.83,2814825423.784,44325162.8571511
2792810952,709800032,760.04,2814650705.7539682,44192112.92411436
2842447469,717524865,909.25,2814869577.905512,44086294.63157916
2779744792,735720843,937.1,2814595165.515625,44022498.37174426
2780828580,716791646,925.63,2814333409.0387597,43951420.51525855
2821084974,725796789,767.81,2814385344.1538463,43786023.684328526
2819590153,714912246,927.55,2814425075.519084,43620933.621541776
2769668309,703419952,868.37,2814086009.1060605,43628332.03259514
2863515043,718567298,779.16,2814457655.9774437,43673239.705763094
2832647944,698640901,831.07,2814593404.3955226,43538130.09805628
2800108592,711168156,829.66,2814486109.4888887,43394356.27665974
2760694238,698708252,836.01,2814090581.022059,43478084.436442174
2957914476,739014476,804.75,2815140390.4744525,45015900.30961596
2904509056,661159080,800.27,2815787989.5,45488489.447920404
2735502700,669692992,821.22,2815210397.4892087,45829628.53178946
2808741901,704972311,902.3,2815164193.9428573,45668906.81217248
2987058449,750397716,812.66,2816383302.134752,47738126.08267333
2810833599,683890341,875.41,2816344219.71831,47572000.76436327
2791257002,726410790,928.37,2816168784.6293707,47451446.93863067
2859410268,729554173,778.11,2816469072.7083335,47422549.045755774
2775218299,697184894,859.67,2816184584.613793,47381884.04931598
2780027460,702179831,892.21,2815936933.0753427,47313412.11436241
2770319185,703106287,872.62,2815626608.2585034,47301064.37959492
2826372902,722373823,769.07,2815699218.3513513,47149212.124185406
2795441552,703475264,858.5,2815563260.8590603,47019826.82236241
2816260466,689505910,841.67,2815567908.8933334,46862866.315859154
2790762279,674733378,824.06,2815403633.1986756,46750746.72442814
2904413475,726113647,790.25,2815989224.263158,47149057.365034714
